309	-29.7	176.4	174
310	-29.7	176.4	232
311	-29.7	176.4	290
312	-29.7	176.4	348
313	-29.7	264.6	-348
314	-29.7	264.6	-290
315	-29.7	264.6	-232
316	-29.7	264.6	-174
317	-29.7	264.6	-116
318	-29.7	264.6	-58
319	-29.7	264.6	0
320	-29.7	264.6	58
321	-29.7	264.6	116
322	-29.7	264.6	174
323	-29.7	264.6	232
324	-29.7	264.6	290
325	-29.7	264.6	348
326	29.7	264.6	-348
327	29.7	264.6	-290
328	29.7	264.6	-232
329	29.7	264.6	-174
330	29.7	264.6	-116
331	29.7	264.6	-58
332	29.7	264.6	0
333	29.7	264.6	58
334	29.7	264.6	116
335	29.7	264.6	174
336	29.7	264.6	232
337	29.7	264.6	290
338	29.7	264.6	348
339	29.7	323.4	-348
340	29.7	323.4	-290
341	29.7	323.4	-232
342	29.7	323.4	-174
343	29.7	323.4	-116
344	29.7	323.4	-58
345	29.7	323.4	0
346	29.7	323.4	58
347	29.7	323.4	116
348	29.7	323.4	174
349	29.7	323.4	232
350	29.7	323.4	290
351	29.7	323.4	348
352	-29.7	323.4	-348
353	-29.7	323.4	-290
354	-29.7	323.4	-232
355	-29.7	323.4	-174
356	-29.7	323.4	-116
357	-29.7	323.4	-58
358	-29.7	323.4	0
359	-29.7	323.4	58
360	-29.7	323.4	116
361	-29.7	323.4	174
362	-29.7	323.4	232
363	-29.7	323.4	290
364	-29.7	323.4	348
365	117.3	44.1	-348
366	117.3	44.1	-290
367	117.3	44.1	-232
368	117.3	44.1	-174
369	117.3	44.1	-116
370	117.3	44.1	-58
371	117.3	44.1	0
372	117.3	44.1	58
373	117.3	44.1	116
374	117.3	44.1	174
375	117.3	44.1	232
376	117.3	44.1	290
377	117.3	44.1	348
378	176.7	44.1	-348
379	176.7	44.1	-290
380	176.7	44.1	-232
381	176.7	44.1	-174
382	176.7	44.1	-116
383	176.7	44.1	-58
384	176.7	44.1	0
385	176.7	44.1	58
386	176.7	44.1	116
387	176.7	44.1	174
388	176.7	44.1	232
389	176.7	44.1	290
390	176.7	44.1	348
391	176.7	102.9	-348
392	176.7	102.9	-290
393	176.7	102.9	-232
394	176.7	102.9	-174
395	176.7	102.9	-116
396	176.7	102.9	-58
397	176.7	102.9	0
398	176.7	102.9	58
399	176.7	102.9	116
400	176.7	102.9	174
401	176.7	102.9	232
402	176.7	102.9	290
403	176.7	102.9	348
404	117.3	102.9	-348
405	117.3	102.9	-290
406	117.3	102.9	-232
407	117.3	102.9	-174
408	117.3	102.9	-116
409	117.3	102.9	-58
410	117.3	102.9	0
411	117.3	102.9	58
412	117.3	102.9	116
413	117.3	102.9	174
414	117.3	102.9	232
415	117.3	102.9	290
416	117.3	102.9	348
417	117.3	191.1	-348
418	117.3	191.1	-290
419	117.3	191.1	-232
420	117.3	191.1	-174
421	117.3	191.1	-116
422	117.3	191.1	-58
423	117.3	191.1	0
424	117.3	191.1	58
425	117.3	191.1	116
426	117.3	191.1	174
427	117.3	191.1	232
428	117.3	191.1	290
429	117.3	191.1	348
430	176.7	191.1	-348
431	176.7	191.1	-290
432	176.7	191.1	-232
433	176.7	191.1	-174
434	176.7	191.1	-116
435	176.7	191.1	-58
436	176.7	191.1	0
437	176.7	191.1	58
438	176.7	191.1	116
439	176.7	191.1	174
440	176.7	191.1	232
441	176.7	191.1	290
442	176.7	191.1	348
443	176.7	249.9	-348
444	176.7	249.9	-290
445	176.7	249.9	-232
446	176.7	249.9	-174
447	176.7	249.9	-116
448	176.7	249.9	-58
449	176.7	249.9	0
450	176.7	249.9	58
451	176.7	249.9	116
452	176.7	249.9	174
453	176.7	249.9	232
454	176.7	249.9	290
455	176.7	249.9	348
456	117.3	249.9	-348
457	117.3	249.9	-290
458	117.3	249.9	-232
459	117.3	249.9	-174
460	117.3	249.9	-116
461	117.3	249.9	-58
462	117.3	249.9	0
463	117.3	249.9	58
464	117.3	249.9	116
465	117.3	249.9	174
466	117.3	249.9	232
467	117.3	249.9	290
468	117.3	249.9	348
469	264.3	-29.4	-348
470	264.3	-29.4	-290
471	264.3	-29.4	-232
472	264.3	-29.4	-174
473	264.3	-29.4	-116
474	264.3	-29.4	-58
475	264.3	-29.4	0
476	264.3	-29.4	58
477	264.3	-29.4	116
478	264.3	-29.4	174
479	264.3	-29.4	232
480	264.3	-29.4	290
481	264.3	-29.4	348
482	323.7	-29.4	-348
483	323.7	-29.4	-290
484	323.7	-29.4	-232
485	323.7	-29.4	-174
486	323.7	-29.4	-116
487	323.7	-29.4	-58
488	323.7	-29.4	0
489	323.7	-29.4	58
490	323.7	-29.4	116
491	323.7	-29.4	174
492	323.7	-29.4	232
493	323.7	-29.4	290
494	323.7	-29.4	348
495	323.7	29.4	-348
496	323.7	29.4	-290
497	323.7	29.4	-232
498	323.7	29.4	-174
499	323.7	29.4	-116
500	323.7	29.4	-58
501	323.7	29.4	0
502	323.7	29.4	58
503	323.7	29.4	116
504	323.7	29.4	174
505	323.7	29.4	232
506	323.7	29.4	290
507	323.7	29.4	348
508	264.3	29.4	-348
509	264.3	29.4	-290
510	264.3	29.4	-232
511	264.3	29.4	-174
512	264.3	29.4	-116
513	264.3	29.4	-58
514	264.3	29.4	0
515	264.3	29.4	58
516	264.3	29.4	116
517	264.3	29.4	174
518	264.3	29.4	232
519	264.3	29.4	290
520	264.3	29.4	348
521	264.3	117.6	-348
522	264.3	117.6	-290
523	264.3	117.6	-232
524	264.3	117.6	-174
525	264.3	117.6	-116
526	264.3	117.6	-58
527	264.3	117.6	0
528	264.3	117.6	58
529	264.3	117.6	116
530	264.3	117.6	174
531	264.3	117.6	232
532	264.3	117.6	290
533	264.3	117.6	348
534	323.7	117.6	-348
535	323.7	117.6	-290
536	323.7	117.6	-232
537	323.7	117.6	-174
538	323.7	117.6	-116
539	323.7	117.6	-58
540	323.7	117.6	0
541	323.7	117.6	58
542	323.7	117.6	116
543	323.7	117.6	174
544	323.7	117.6	232
545	323.7	117.6	290
546	323.7	117.6	348
547	323.7	176.4	-348
548	323.7	176.4	-290
549	323.7	176.4	-232
550	323.7	176.4	-174
551	323.7	176.4	-116
552	323.7	176.4	-58
553	323.7	176.4	0
554	323.7	176.4	58
555	323.7	176.4	116
556	323.7	176.4	174
557	323.7	176.4	232
558	323.7	176.4	290
559	323.7	176.4	348
560	264.3	176.4	-348
561	264.3	176.4	-290
562	264.3	176.4	-232
563	264.3	176.4	-174
564	264.3	176.4	-116
565	264.3	176.4	-58
566	264.3	176.4	0
567	264.3	176.4	58
568	264.3	176.4	116
569	264.3	176.4	174
570	264.3	176.4	232
571	264.3	176.4	290
572	264.3	176.4	348
573	29.7	-264.6	-348
574	29.7	-264.6	-290
575	29.7	-264.6	-232
576	29.7	-264.6	-174
577	29.7	-264.6	-116
578	29.7	-264.6	-58
579	29.7	-264.6	0
580	29.7	-264.6	58
581	29.7	-264.6	116
582	29.7	-264.6	174
583	29.7	-264.6	232
584	29.7	-264.6	290
585	29.7	-264.6	348
586	-29.7	-264.6	-348
587	-29.7	-264.6	-290
588	-29.7	-264.6	-232
589	-29.7	-264.6	-174
590	-29.7	-264.6	-116
591	-29.7	-264.6	-58
592	-29.7	-264.6	0
593	-29.7	-264.6	58
594	-29.7	-264.6	116
595	-29.7	-264.6	174
596	-29.7	-264.6	232
597	-29.7	-264.6	290
598	-29.7	-264.6	348
599	-29.7	-323.4	-348
600	-29.7	-323.4	-290
601	-29.7	-323.4	-232
602	-29.7	-323.4	-174
603	-29.7	-323.4	-116
604	-29.7	-323.4	-58
605	-29.7	-323.4	0
606	-29.7	-323.4	58
607	-29.7	-323.4	116
608	-29.7	-323.4	174
609	-29.7	-323.4	232
610	-29.7	-323.4	290
611	-29.7	-323.4	348
612	29.7	-323.4	-348
613	29.7	-323.4	-290
614	29.7	-323.4	-232
615	29.7	-323.4	-174
616	29.7	-323.4	-116
617	29.7	-323.4	-58
618	29.7	-323.4	0
619	29.7	-323.4	58
620	29.7	-323.4	116
621	29.7	-323.4	174
622	29.7	-323.4	232
623	29.7	-323.4	290
624	29.7	-323.4	348
625	176.7	-44.1	-348
626	176.7	-44.1	-290
627	176.7	-44.1	-232
628	176.7	-44.1	-174
629	176.7	-44.1	-116
630	176.7	-44.1	-58
